Sensor,Reading Date,Elevation,SiteId
103,"Aug 30, 2017 11:57:32 PM",1.38,100
103,"Aug 30, 2017 11:01:32 PM",1.55,100
103,"Aug 30, 2017 10:43:32 PM",1.5,100
103,"Aug 30, 2017 9:07:32 PM",1.64,100
103,"Aug 30, 2017 8:01:32 PM",1.77,100
103,"Aug 30, 2017 7:01:32 PM",1.92,100
103,"Aug 30, 2017 6:21:32 PM",1.87,100
103,"Aug 30, 2017 5:43:32 PM",1.98,100
103,"Aug 30, 2017 4:01:32 PM",2.09,100
103,"Aug 30, 2017 3:01:32 PM",2.2,100
103,"Aug 30, 2017 1:57:32 PM",2.2,100
103,"Aug 30, 2017 12:09:32 PM",2.31,100
103,"Aug 30, 2017 11:21:32 AM",2.41,100
103,"Aug 30, 2017 11:01:32 AM",2.48,100
103,"Aug 30, 2017 9:07:32 AM",2.52,100
103,"Aug 30, 2017 8:49:32 AM",2.63,100
103,"Aug 30, 2017 8:15:32 AM",2.53,100
103,"Aug 30, 2017 6:37:32 AM",2.63,100
103,"Aug 30, 2017 12:05:32 AM",3.48,100
103,"Aug 29, 2017 11:39:32 PM",3.41,100
103,"Aug 29, 2017 11:33:32 PM",3.49,100
103,"Aug 29, 2017 11:17:32 PM",3.55,100
103,"Aug 29, 2017 11:09:32 PM",3.54,100
103,"Aug 29, 2017 11:01:32 PM",3.67,100
103,"Aug 29, 2017 10:57:32 PM",3.78,100
103,"Aug 29, 2017 10:45:32 PM",3.72,100
103,"Aug 29, 2017 10:43:32 PM",3.66,100
103,"Aug 29, 2017 10:37:32 PM",3.81,100
103,"Aug 29, 2017 10:29:32 PM",3.69,100
103,"Aug 29, 2017 10:27:32 PM",3.69,100
103,"Aug 29, 2017 10:25:32 PM",3.59,100
103,"Aug 29, 2017 10:13:32 PM",3.81,100
103,"Aug 29, 2017 10:09:32 PM",3.78,100
103,"Aug 29, 2017 10:03:32 PM",3.88,100
103,"Aug 29, 2017 9:57:32 PM",3.77,100
103,"Aug 29, 2017 9:41:32 PM",3.94,100
103,"Aug 29, 2017 9:25:32 PM",3.9,100
103,"Aug 29, 2017 9:09:32 PM",3.96,100
103,"Aug 29, 2017 8:37:32 PM",4.14,100
103,"Aug 29, 2017 7:01:32 PM",4.3,100
103,"Aug 29, 2017 6:19:32 PM",4.47,100
103,"Aug 29, 2017 5:25:32 PM",4.71,100
103,"Aug 29, 2017 5:15:32 PM",4.78,100
103,"Aug 29, 2017 5:09:32 PM",4.87,100
103,"Aug 29, 2017 4:53:32 PM",4.9,100
103,"Aug 29, 2017 4:51:32 PM",4.9,100
103,"Aug 29, 2017 4:39:32 PM",4.77,100
103,"Aug 29, 2017 4:37:32 PM",5.02,100
103,"Aug 29, 2017 4:31:32 PM",5.01,100
103,"Aug 29, 2017 4:21:32 PM",4.96,100
103,"Aug 29, 2017 4:09:32 PM",4.89,100
103,"Aug 29, 2017 4:05:32 PM",5.08,100
103,"Aug 29, 2017 3:57:32 PM",5.1,100
103,"Aug 29, 2017 3:55:32 PM",4.97,100
103,"Aug 29, 2017 3:49:32 PM",5.17,100
103,"Aug 29, 2017 3:33:32 PM",5.12,100
