Site ID,Description,Source Address,Latitude,Longitude
100,Clear Lake 2nd Outlet @ SH 146,43020,29.554639,-95.025513
105,Mary's Creek @ Winding Road,43021,29.543475,-95.217353
110,Clear Creek @ I-45,43022,29.50796,-95.11741
115,Cowart Creek @ Baker Road,43023,29.513234,-95.222531
120,Clear Creek @ FM 528,43024,29.517555,-95.179061
125,Chigger Creek @ Windsong Lane,43025,29.495189,-95.223522
130,Clear Creek @ Bay Area Boulevard,43026,29.497498,-95.159806
135,Clear Creek @ FM 2351,43027,29.542461,-95.196775
140,Turkey Creek @ FM 1959,43028,29.583903,-95.187552
150,Clear Creek @ Country Club Drive,43029,29.556148,-95.252032
160,Beamer Ditch @ Hughes Road,43030,29.591725,-95.222089
170,Clear Creek @ Nassau Bay,43031,29.534116,-95.091224
175,Clear Creek @ Pearland Pkwy,43196,29.594175,-95.266054
180,Clear Creek @ Mykawa Road,43032,29.596694,-95.297345
190,Clear Creek @ SH 288,43033,29.585932,-95.385979
200,Taylor Lake @ Nasa Road 1,43034,29.565371,-95.053834
210,Armand Bayou @ Pasadena Lake (Nasa Road 1),43035,29.564191,-95.070795
220,Armand Bayou @ Genoa-Red Bluff Road,43036,29.633755,-95.114485
230,Big Island Slough @ Fairmont Parkway,43037,29.651497,-95.076001
240,Little Vince Bayou @ Burke Road,43038,29.683502,-95.183473
250,Horsepen Creek @ Bay Area Boulevard,43039,29.583671,-95.103438
270,Willow Spring Bayou @ Fairmont Parkway,43040,29.650747,-95.110027
310,Berry Bayou @ Nevada Avenue,43041,29.656295,-95.228933
320,Berry Bayou @ Forest Oaks Boulevard,43042,29.676469,-95.243682
340,Sims Bayou @ Telephone Road,43043,29.674494,-95.289014
360,Sims Bayou @ Martin Luther King Road,43044,29.644783,-95.336798
370,Sims Bayou @ SH 288,43045,29.632178,-95.386657
380,Sims Bayou @ Hiram-Clarke Road,43046,29.619293,-95.445887
400,Harris Gully @ South McGregor Way,43047,29.707682,-95.392158
405,Brays Bayou @ Martin Luther King Blvd,43182,29.714667, -95.339294
410,Brays Bayou @ Lawndale Street,43048,29.722625,-95.305332
420,Brays Bayou @ South Main Street,43049,29.697018,-95.412138
430,Brays Bayou @ Stella Link Road,43050,29.690953,-95.439914
435,Willow Water Hole @ Willowbend Boulevard,43051,29.664477,-95.460008
440,Brays Bayou @ Rice Avenue,43052,29.678605,-95.467271
445,Willow Water Hole @ Landsdowne Drive,43160,29.65023,-95.4867
460,Brays Bayou @ Gessner Road,43053,29.672371,-95.527994
465,Brays Bayou @ Beltway 8,43054,29.695066,-95.556599
470,Brays Bayou @ Belle Park Drive,43055,29.709284,-95.5825
475,Brays Bayou @ Bellaire Boulevard,43056,29.70391,-95.566081
480,Keegans Bayou @ Roark Road,43057,29.656136,-95.562488
485,Brays Bayou @ SH 6,43058,29.715071,-95.643933
490,Keegans Bayou @ Keegan Road,43059,29.665721,-95.594968
495,Keegans Bayou @ Rocky Valley,43060,29.678422,-95.649195
510,Harris County Flood Control @ Brookhollow,43061,29.806225,-95.452383
520,White Oak Bayou @ Heights Boulevard,43062,29.774876,-95.397145
530,White Oak Bayou @ Ella Boulevard,43063,29.803438,-95.429368
535,White Oak Bayou @ Pinemont Drive,43064,29.840915,-95.458339
540,White Oak Bayou @ Alabonson Road,43065,29.870424,-95.480366
545,White Oak Bayou @ Fairbanks North Houston Road,43066,29.877297,-95.524522
550,White Oak Bayou @ Lakeview Drive,43067,29.887358,-95.556185
555,White Oak Bayou @ Jones Road,43068,29.917687,-95.584556
560,Little White Oak Bayou @ Trimble Street,43069,29.792956,-95.367817
570,Little White Oak Bayou @ Tidwell Road,43070,29.845139,-95.399729
575,White Oak Bayou @ Tidwell Road,43071,29.846237,-95.460193
580,Brickhouse Gully @ Costa Rica Road,43072,29.827664,-95.469019
582,Brickhouse Gully @ Hollister ,43190,29.823918,-95.509149
585,Vogel Creek @ Victory Drive,43073,29.868133,-95.4692
590,Cole Creek @ Deihl Road,43074,29.850893,-95.487669
595,Vogel Creek @ Gulf Bank Road,43075,29.883128,-95.467416
610,Taylor's Bayou @ Shoreacres Boulevard,43076,29.619923,-95.021669
620,Little Cedar Bayou @ 8th Street,43077,29.650057,-95.027295
640,Lateral @ Sens Road,43078,29.6832709,-95.046794
710,San Jacinto River @ Rio Villa,43079,29.829041,-95.077694
720,San Jacinto River @ US 90,43080,29.876372,-95.093111
